"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authentication.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authentication.guard.ts", "TypeScript", 20, 0, 0, 0, 9, 29
"d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authguard-services.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authguard-services.service.ts", "TypeScript", 10, 0, 0, 0, 3, 13
"d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\external-quard.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\external-quard.guard.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.html", "HTML", 0, 36, 0, 0, 4, 40
"d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.ts", "TypeScript", 137, 0, 0, 0, 19, 156
"d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.css", "CSS", 0, 0, 475, 2, 120, 597
"d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.html", "HTML", 0, 368, 0, 18, 15, 401
"d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.ts", "TypeScript", 142, 0, 0, 0, 19, 161
"d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.css", "CSS", 0, 0, 475, 2, 121, 598
"d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.html", "HTML", 0, 314, 0, 12, 16, 342
"d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.ts", "TypeScript", 139, 0, 0, 0, 16, 155
"d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.css", "CSS", 0, 0, 259, 0, 37, 296
"d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.html", "HTML", 0, 480, 0, 10, 22, 512
"d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.ts", "TypeScript", 161, 0, 0, 0, 12, 173
