Date : 2023-04-10 10:20:01
Directory : d:\FIXXUP\Angular-FIXXP-\src\app
Total : 455 files,  64601 codes, 33381 comments, 8971 blanks, all 106953 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |        107 |     27,297 |      7,273 |      2,063 |     36,633 |
| CSS        |        107 |     21,650 |     26,002 |      4,215 |     51,867 |
| TypeScript |        241 |     15,654 |        106 |      2,693 |     18,453 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        455 |     64,601 |     33,381 |      8,971 |    106,953 |
| . (Files)                                                                                                      |          6 |        996 |          5 |         48 |      1,049 |
| Authguard                                                                                                      |          6 |         86 |          0 |         33 |        119 |
| abs                                                                                                            |          4 |        191 |          0 |         30 |        221 |
| add-charges                                                                                                    |          4 |      1,003 |         20 |        160 |      1,183 |
| add-stamp-paper                                                                                                |          4 |        946 |         14 |        159 |      1,119 |
| add-visitors-type                                                                                              |          4 |        918 |         10 |         77 |      1,005 |
| addcity                                                                                                        |          4 |        939 |         10 |         91 |      1,040 |
| adddaily-helper-category                                                                                       |          4 |        914 |         10 |         85 |      1,009 |
| addmanager                                                                                                     |          4 |        985 |         10 |         93 |      1,088 |
| addmanagerbankdetail                                                                                           |          4 |        730 |        701 |        158 |      1,589 |
| addpincode                                                                                                     |          4 |        954 |         10 |         91 |      1,055 |
| addraised-complaint                                                                                            |          4 |        913 |         10 |         85 |      1,008 |
| addrole                                                                                                        |          4 |        917 |         14 |         74 |      1,005 |
| addsociety                                                                                                     |          4 |      1,013 |         10 |        100 |      1,123 |
| addstate                                                                                                       |          4 |        912 |         10 |         81 |      1,003 |
| adduser                                                                                                        |          4 |        257 |          3 |         10 |        270 |
| addvisitor                                                                                                     |          4 |        913 |         10 |         82 |      1,005 |
| admin-profile                                                                                                  |          4 |        935 |         10 |         96 |      1,041 |
| adminlogin                                                                                                     |          4 |        534 |        108 |         82 |        724 |
| agnys                                                                                                          |          5 |         45 |         46 |         30 |        121 |
| agnys (Files)                                                                                                  |          4 |         38 |         46 |         28 |        112 |
| agnys\models                                                                                                   |          1 |          7 |          0 |          2 |          9 |
| all-admin                                                                                                      |          4 |        951 |        877 |         58 |      1,886 |
| all-charges                                                                                                    |          4 |        899 |        465 |        127 |      1,491 |
| all-users-kyc                                                                                                  |          4 |        295 |          7 |         80 |        382 |
| all-users-kyc-docs                                                                                             |          4 |         27 |          0 |         11 |         38 |
| all-visitors-type                                                                                              |          4 |        893 |      1,477 |         73 |      2,443 |
| all-worker-transaction                                                                                         |          4 |        921 |        901 |         81 |      1,903 |
| block                                                                                                          |          4 |        861 |        888 |         80 |      1,829 |
| changepassword                                                                                                 |          4 |        434 |          3 |         93 |        530 |
| check-society-logo                                                                                             |          4 |         53 |          0 |         21 |         74 |
| checkvisitorsimage                                                                                             |          4 |         53 |          0 |         22 |         75 |
| daily-helper-category                                                                                          |          4 |        898 |        876 |         70 |      1,844 |
| daily-helpers-kyc                                                                                              |          4 |        372 |         45 |         89 |        506 |
| dailyHelpers Service                                                                                           |          1 |          7 |          0 |          3 |         10 |
| dashboard                                                                                                      |          4 |      1,071 |        875 |         56 |      2,002 |
| due-amount                                                                                                     |          4 |        935 |      1,484 |         73 |      2,492 |
| edit-charges                                                                                                   |          4 |      1,008 |         20 |        161 |      1,189 |
| edit-city                                                                                                      |          4 |        706 |        438 |        134 |      1,278 |
| edit-daily-helpes                                                                                              |          4 |        720 |        532 |        163 |      1,415 |
| edit-manager                                                                                                   |          4 |        822 |         82 |        200 |      1,104 |
| edit-pincode                                                                                                   |          4 |        724 |        616 |        158 |      1,498 |
| edit-profile                                                                                                   |          4 |        691 |        377 |        161 |      1,229 |
| edit-role                                                                                                      |          4 |        770 |        544 |        176 |      1,490 |
| edit-society                                                                                                   |          4 |        905 |        490 |        118 |      1,513 |
| edit-stamp-paper                                                                                               |          4 |        948 |         14 |        160 |      1,122 |
| edit-state                                                                                                     |          4 |        661 |        525 |        142 |      1,328 |
| edit-visitor-category                                                                                          |          4 |        586 |        521 |        137 |      1,244 |
| editraised-complaint                                                                                           |          4 |        663 |        150 |        145 |        958 |
| flat-user-kyc                                                                                                  |          4 |         53 |          0 |         19 |         72 |
| flats                                                                                                          |          4 |        655 |        889 |         69 |      1,613 |
| flatusers                                                                                                      |          4 |        836 |        889 |         73 |      1,798 |
| fp-verify-email                                                                                                |          4 |        452 |         44 |         93 |        589 |
| fp-verify-otp                                                                                                  |          4 |        463 |         51 |         85 |        599 |
| home-transaction                                                                                               |          4 |        919 |        883 |         58 |      1,860 |
| idbyusername                                                                                                   |          4 |        263 |         10 |         66 |        339 |
| invoice-pdf                                                                                                    |          4 |         27 |          0 |         12 |         39 |
| list-admin                                                                                                     |          4 |         27 |          0 |         11 |         38 |
| listcity                                                                                                       |          4 |        891 |        901 |         76 |      1,868 |
| listpincode                                                                                                    |          4 |        701 |        893 |         85 |      1,679 |
| liststate                                                                                                      |          4 |        668 |        470 |        151 |      1,289 |
| login                                                                                                          |          4 |        302 |         14 |         51 |        367 |
| manager-kyc-approve                                                                                            |          4 |        102 |         26 |         22 |        150 |
| managers                                                                                                       |          4 |        996 |         14 |         61 |      1,071 |
| models                                                                                                         |          1 |        210 |          0 |         94 |        304 |
| pincode-status                                                                                                 |          4 |         76 |          0 |         27 |        103 |
| profile                                                                                                        |          4 |        276 |         10 |         75 |        361 |
| raised-complaint                                                                                               |          4 |        893 |      1,481 |         72 |      2,446 |
| rent-pay                                                                                                       |          4 |        974 |         38 |         65 |      1,077 |
| resend-otp                                                                                                     |          4 |         27 |          0 |         11 |         38 |
| reset-password                                                                                                 |          4 |        586 |          2 |         91 |        679 |
| rolelist                                                                                                       |          4 |        904 |        876 |         75 |      1,855 |
| security-guard-kyc                                                                                             |          4 |        262 |          7 |         59 |        328 |
| services                                                                                                       |         16 |      1,284 |         23 |        354 |      1,661 |
| services\Daily Helpers                                                                                         |          1 |         27 |          0 |          9 |         36 |
| services\Home Transaction                                                                                      |          1 |         27 |          3 |         14 |         44 |
| services\Invoice                                                                                               |          1 |         27 |          2 |         13 |         42 |
| services\Login Service                                                                                         |          1 |        883 |          3 |        184 |      1,070 |
| services\Receipt PDF                                                                                           |          1 |         27 |          3 |         14 |         44 |
| services\Rental Agreement                                                                                      |          1 |         27 |          3 |         12 |         42 |
| services\Security Worker Document                                                                              |          1 |         27 |          0 |         10 |         37 |
| services\Service  Toggle                                                                                       |          1 |         27 |          0 |          9 |         36 |
| services\Society Logo                                                                                          |          1 |         27 |          2 |          9 |         38 |
| services\Society Manager KYC                                                                                   |          2 |         39 |          1 |         15 |         55 |
| services\TIcket Worker Document                                                                                |          1 |         27 |          0 |          9 |         36 |
| services\UserKyc                                                                                               |          1 |         27 |          1 |         10 |         38 |
| services\VIsitors Image                                                                                        |          1 |         27 |          3 |         13 |         43 |
| services\promition service                                                                                     |          1 |         33 |          1 |         15 |         49 |
| services\society Upload Logo                                                                                   |          1 |         32 |          1 |         18 |         51 |
| settlement-update                                                                                              |          4 |        824 |        438 |        136 |      1,398 |
| society                                                                                                        |          4 |        997 |        888 |         90 |      1,975 |
| society-based-visitors                                                                                         |          4 |        917 |      1,480 |         81 |      2,478 |
| society-daily-workers                                                                                          |          4 |        902 |      1,489 |         81 |      2,472 |
| society-emergency-contact                                                                                      |          4 |        894 |      1,488 |         85 |      2,467 |
| society-promotions                                                                                             |          4 |        958 |         13 |         89 |      1,060 |
| society-security-guard                                                                                         |          4 |        952 |        624 |         83 |      1,659 |
| society-ticket-workers                                                                                         |          4 |        904 |        888 |         72 |      1,864 |
| society-upload-logo                                                                                            |          4 |        397 |         59 |        105 |        561 |
| societysearch                                                                                                  |          4 |        104 |          0 |         20 |        124 |
| stamp-paper                                                                                                    |          4 |        886 |        465 |        128 |      1,479 |
| statestatus                                                                                                    |          4 |         77 |          0 |         27 |        104 |
| tickets                                                                                                        |          4 |        843 |        883 |         77 |      1,803 |
| transactionhistory                                                                                             |          4 |        984 |         32 |         64 |      1,080 |
| update-promotion                                                                                               |          4 |        938 |        482 |        212 |      1,632 |
| user-kyc                                                                                                       |          4 |        298 |          7 |         58 |        363 |
| userkyc                                                                                                        |          4 |         27 |          0 |         11 |         38 |
| usermanagement                                                                                                 |          4 |        880 |        892 |         73 |      1,845 |
| view-due-amount                                                                                                |          4 |        136 |          0 |         31 |        167 |
| view-home-transaction                                                                                          |          4 |        297 |          7 |         77 |        381 |
| view-kyc-manager                                                                                               |          4 |        438 |         10 |         79 |        527 |
| view-security-workers                                                                                          |          4 |        382 |         10 |         71 |        463 |
| view-security-workers-kyc                                                                                      |          4 |        363 |         22 |         77 |        462 |
| view-security-workers-kyc-doc                                                                                  |          4 |         53 |          0 |         19 |         72 |
| view-society-logo                                                                                              |          4 |         53 |          0 |         22 |         75 |
| view-society-manager-kyc                                                                                       |          4 |         53 |          0 |         12 |         65 |
| view-ticket-workers                                                                                            |          4 |        346 |         10 |         67 |        423 |
| view-ticket-workers-kyc                                                                                        |          4 |        274 |          7 |         59 |        340 |
